cas_l;pada;aktiv;osoba;cislo;koncovka;pozn
prezent;parasmai;aktivum;1;sg;mi;např. vadámi
prezent;parasmai;aktivum;1;du;vaḥ;např. vadávaḥ
prezent;parasmai;aktivum;1;pl;maḥ;např. vadámaḥ
prezent;parasmai;aktivum;2;sg;si;např. vadasi
prezent;parasmai;aktivum;2;du;thaḥ;např. vadathaḥ
prezent;parasmai;aktivum;2;pl;tha;např. vadatha
prezent;parasmai;aktivum;3;sg;ti;např. vadati
prezent;parasmai;aktivum;3;du;taḥ;např. vadataḥ
prezent;parasmai;aktivum;3;pl;nti;např. vadanti
prezent;átmané;médium;1;sg;é;např. labhé
prezent;átmané;médium;1;du;vahé;např. labhávahé
prezent;átmané;médium;1;pl;mahé;např. labhámahé
prezent;átmané;médium;2;sg;sé;např. labhasé
prezent;átmané;médium;2;du;thé;např. labhethé
prezent;átmané;médium;2;pl;dhvé;např. labhadhvé
prezent;átmané;médium;3;sg;té;např. labhaté
prezent;átmané;médium;3;du;té;např. labheté
prezent;átmané;médium;3;pl;nté;např. labhanté
imperfekt;parasmai;3;sg;ta;např. dadáti
imperfekt;parasmai;3;du;taḥ;např. dadátaḥ
imperfekt;parasmai;3;pl;nta;např. dadá
