lakara;cas_l;cas_cz;pada;aktiv;osoba;prefix;k_sg;k_du;k_pl;pozn
laṭ;prezent;přítomný;parasmai;aktivum;1;;ámi;ávaḥ;ámaḥ;např. vadámi, vadávaḥ,vadámaḥ
laṭ;prezent;přítomný;parasmai;aktivum;2;;asi;athaḥ;atha;např. vadasi, vadathaḥ, vadatha
laṭ;prezent;přítomný;parasmai;aktivum;3;;ati;ataḥ;anti;např. vadati, vadataḥ, vadanti
laṭ;prezent;přítomný;átmané;médium;1;;é;ávahé;ámahé;např. labhé, labhávahé, labháméhé
laṭ;prezent;přítomný;átmané;médium;2;;asé;éthé;adhvé;např. labhasé, labhété, labhadhvé
laṭ;prezent;přítomný;átmané;médium;3;;até;été;anté;např. labhaté, labhété, labhanté
laṅ;imperfekt;jednoduchý minulý;parasmai;aktivum;1;a;am;áva;áma;např. šel, šli, šli
laṅ;imperfekt;jednoduchý minulý;parasmai;aktivum;2;a;aḥ;atam;ata;např. šel, šli, šli
laṅ;imperfekt;jednoduchý minulý;parasmai;aktivum;3;a;at;atám;an;např. šel-šlo-šla, šli, šli
laṅ;imperfekt;jednoduchý minulý;átmané;médium;1;a;é;ávahi;ámahi;např. dostal, dostali, dostali
laṅ;imperfekt;jednoduchý minulý;átmané;médium;2;a;atháḥ;éthám;adhvam;např. dostal, dostali, dostali
laṅ;imperfekt;jednoduchý minulý;átmané;médium;3;a;ata;étám;anta;např. dostal-lo-la, dostali, dostali
