cz;kmen;rod;devanagari
syn;putra-;m;पुत्र
muž;nara-;m;नर
bůh;déva-;m;देव
svět;lóka-;m;लोक
lidé pl;lókán-;m;लोकान्
chlapec;bála-;m;बाल
strom;vṛkṣa-;m;वृक्ष
žák;śiṣja-;m;शिष्य
učitel;áčárja-;m;आचार्य
dívka;kanjá-;f;कन्या
přání;iččhá-;f;इच्छा
ruka;hasta-;m;हस्त
kůň;aśva-;m;अश्व
bráhman;bráhmaṇa-;m;ब्राह्मण
hříšný, zlý;pápa-;m;पाप
plod, ovoce;fala-;n;फल
město;nagara-;n;नगर
síla;bala-;n;बल
cesta;márga-;m;मार्ग
dům;gṛha-;n;गृह
klenot;ratna-;n;रत्न
báseň;kávja-;n;काव्य
štěstí;sukha-;n;सुख
neštěstí;duḥkha-;n;दुःख
čas;kála-;m;काल
touha, přání, rozkoš;káma-;m;काम
píseň;gíta-;n;गीत
život;džívita-;n;जीवित
myšlenka;mati-;f;मति
kvalita, ctnost;guṇa-;m;गुण
země;bhúmi-;f;भूमम
božský;daiva-;n;दैव
jóga, spojení, sjednocení;jóga-;m;योग
mlčení;mauna-;n;मौन
učitel, těžký;guru-;m;गुरु
tvar, krása;rúpa-;n;रूप
srdce;hṛdaja-;n;हृदय
čin, konání na úkor jednoty;karma-;n;कर्म
bytí v rámci jednoty;dharma-;m;धमम
přítel;mitra-;n;मित्र
kruh;čakra-;n;चक्र
vesnice;gráma-;m;ग्राम
dílo, čin, úkon, práce, povinnost;kárja-;n;कार्य
konatel;kartr̥-;m;कर्तृ
sláva;kírti-;f;कीर्ति
hojnost, blahobyt, štěstí;bhadra-;n;भद्र
poznání;džñána-;n;ज्ञान
soucit, oddanost, láskyplná úcta;bhakti-;f;भक्ति
osvobození;mókṣa-;m;मोक्ष
vše, všechno, vesmír, svět;viśva-;n;विश्व
zářící, vynikající, záře, bohyně Lakṣmí;śrí-;f;श्री
probuzený, vědomý;buddha-;m;बुद्ध
síla, schopnost;śakti-;f;शक्ति
oheň;agni-;m;अग्नि
úd, končetina;aṅga-;n;अङ्ग
prostor;ákáśa-;m;आकाश
sepětí rukou;añdžali-;m;अञ्जलि
usednutí, pozice, sed;ásana-;n;आसन
věda o dlouhověkosti;ájurvéda-;m;आयुवेद
autor jóga súter;patañdžali-;m;पतञ्जलि
bůh, ten lepší, jiný;íśvara-;m;ईश्वर
to božské v nás;puruṣa-;m;पुरुष
ršij, zřec;r̥ṣi-;m;ऋषि
bylina, lék;óṣadhi-;f;ओषमध
pozdrav slunci;súrja namaskára;m;सूर्य नमस्कार
pohyb, reakce, činnost, stav mysli;vṛtti-;f;वृत्ति
dopis, list;pattra-;n;पत्त्र
dva (duál);dvau-;m;द्वौ
lotos (květ), poklad, zlato, jméno, milion;padma-;n;पद्म
jídlo;anna-;n;अन्न
zrození;džanma-;n;जन्म
mantra;mantra-;m;मन्त्र
klid, mír;śánti-;f;शान्ति
spánek, sen;svapna-;m;स्वप्न
slovo, zvuk;śabda-;m;शब्द
tygr;vjághra-;m;व्याघ्र
květ;puṣpa-;n;पुष्प
člověk;manuṣja-;m;मनुष्य
paměť, vzpomínka;smṛti-;f;स्मृति
kniha;pustaka-;n;पुस्तक
meditace;dhjána-;n;ध्यान
to slyšené (svatá tradice) ;śruti-;f;श्रुति
učení, přikázání, posvátný text;śástra-;n;शास्त्र
písmo pro zapisování sanskrtu;dévanágarí-;f;देवनागरी
sanskrt, složené;saṃkṛta-;n;संस्कृत
iluze, koloběh;saṃsára-;m;संसार
to božské, absolutno, vesmírný tok;brahma-;n;ब्रह्म
omyl, zatoulání se, blud;bhrama-;m;भ्रम
duše, to božské v nás;átma-;m;आत्म
rgvédský verš, hymnus;r̥č-;f;ऋच्
rgvéda, o kosmickém řádu;r̥gvéda-;m;ऋग्वेद
nejvyšší bezpodmínečná pravda, zákon jednoty, zákon makrokosmu a mikrokosmu, zákon vesmíru;r̥ta-;n;ऋत
dluh;r̥ṇa-;n;ऋण
rada;upadéśa-;m;उपदेश
hněv;kródha-;m;क्रोध
les 1;vana-;n;वन
voda;džala-;n;जल
otec;džanaka-;m;जनक
pochyba, pochybnost;saṃśaja-;m;संशय
jistota;asaṃśaja-;m;असंशय
smysl;artha-;m;अर्थ
neštěstí, bída;anartha-;m;अनर्थ
poklona komu (D);nama-;m;नम
lež 1;anṛta-;n;अनृत
pravda;satja-;n;सत्य
lež 2;asatja-;n;असत्य
strach;bhaja-;n;भय
nebojácnost;abhaja-;n;अभय
peníze;dhana-;n;धन
příčina;káraṇa-;n;कारण
spokojenost;saṃtóṣa-;m;संतोष
učenec;paṇḍita-;m;पण्डित
společník;sahačara-;m;सहचर
hospodář;gṛhastha-;m;गृहस्थ
palác;prásáda-;m;प्रासाद
princ, chlapec;kumára-;m;कुमार
manželka;bhárjá-;f;भार्या
povídka;kathá-;f;कथा
pouť;tírtha-;m;तीर्थ
ctnostný, moudrý člověk;sádhudžana-;m;साधुजन
poctivý život, řádu času prostoru;dharma-;m;धर्म
bezpráví, bez řádu;adharma-;m;अधर्म
překvapení, úžas, zázrak;vismaja-;m;विस्मय
zisk, získání, dosahování;lábha-;m;लाभ
tvář, ústa;mukha-;n;मुख
dobrý skutek, ctnostný;puṇja-;n;पुण्य
les 2;araṇja-;n;अरण्य
tajemství, záhada;rahasja-;n;रहस्य
slušné chování, bytí;áčára-;m;आचार
slon;gadža-;m;गज
úsilí, vůle (ut- nahoru jama, něco co vytahuje, zvedá);udjama-;m;उद्यम
touha, marnivost;manóratha-;m;मनोरथ
odpad;mala-;f;मल
král;nṛpa-;m;नृप
bojovník;kṣatrija-;m;क्षत्रिय
den;dina-;n;दिन
peklo;naraka-;n;नरक
věnec;málá-;f;माला
záměr;samkalpa-;m;संकल्प
chtivost;lóbha-;m;लोभ
vada, chyba;dóṣa-;m;दोष
láska;snéha-;m;स्नेह
špička;agra-;m;अग्र
začátek;arabhja-;m;आरभ्य
střed;madhja-;m;मध्य
konec, limit, hranice;anta-;m;अन्त
moment, čas;samaja-;m;समय
měsíc;mása-;m;मास
rok;varṣa-;m;वर्ष
hora;parvata-;m;पर्वत
hádka;kalaha-;m;कलह
rozhodnutí;niśčaja-;m;निश्चय
země;déśa-;m;देश
polovina;ardha-;m;अर्ध
rodiče (duál);pitarau-;m;पितरौ
dobrý skutek;puṇja-;n;पुण्य
chování, točení se v kruhu;vṛtta-;n;वृत्त
příběh;vṛttánta-;n;वृत्तान्त
jídlo, potrava;bhójana-;n;भोजन
poznání, gján;džñána-;n;ज्ञान
poklad;nidhána-;n;निधान
blízkost, k;samípa-;n;समीप
zvědavost;kautúhala-;n;कौतूहल
okamžik;kṣaṇa-;n;क्षण
společnost;sabhá-;f;सभा
stín;čhájá-;f;छाया
znalost, vědění;vidjá-;f;विद्या
