cz;ot1;pad1_sa;pad1_cz;ot2;pad2_sa;pad2_cz;pada;aktivita;tran_kmen;tran_prezens_3sg;tran_ppp;dev_kmen;dev_prezens_3sg;dev_ppp
jít 1;;;;;;;parasmai;aktivum;gam-;gaččhati;gata;गम्;गच्छति;गत
ptát;se koho;Ak;;;;;parasmai;aktivum;pračh-;pṛččhati;pṛṣṭa;प्रछ्;पृच्छति;पृष्ट
přát, chtít;koho, co;Ak;;;;;parasmai;aktivum;iṣ-;iččhati;iṣṭa;इष्;इच्छति;इष्ट
;;;;;;;;;;;;;;
stát, zůstat, zůstávat, přebývat, setrvávat, spočívat;;;;;;;parasmai;aktivum;sthá-;tiṣṭhati;sthita;स्था;तिष्ठति;स्थित
jít 2, dostat údělem, obdržet, dosáhnout cíle, přicházet, dojít;;;;;;;parasmai;aktivum;r̥-,;r̥ččhati;ṛtta;ऋ;ऋच्छति;ऋत्त
zpívat, chválit, oslavovat, recitovat hymnus, opěvovat;;;;;;;parasmai;aktivum;r̥č-,;r̥čati;ṛkta;ऋच्;ऋचति;ऋक्त
intenzivně – zpívat, chválit, oslavovat, recitovat hymnus, opěvovat;;;;;;;parasmai;aktivum;r̥č-,;r̥ččhati;-;ऋच्;ऋच्छति;-
dávat, odevzdávat, věnovat, předávat, nabízet, klást;;;;;;;parasmai;aktivum;arp-,;arpajati;arpita;अर्प्;अर्पयति;अर्पित
;;;;;;;;;;;;;;
pít;;;;;;;parasmai;aktivum;pá-;pibati;píta;पा;पिबति;पीत
mluvit;;;;;;;parasmai;aktivum;vad-;vadati;udita;वद;वदति;उदित
plakat;;;;;;;parasmai;aktivum;rud-;ródati;rudita;रुद्;रोदति;रुदित
hořet;;;;;;;parasmai;aktivum;dah-;dahati;dagdha;दह;दहति;दग्ध
chránit;koho, co;Ak;;;;;parasmai;aktivum;rakṣ-;rakṣati;rakṣita;रक्ष;रक्षति;रक्षित
sedět;;;;;;;parasmai;aktivum;sad-;sídati;sanna;सद्;सीदति;सन्न
nosit;koho, co;Ak;;;;;parasmai;aktivum;hṛ-;harati;hṛta;हृ;हरति;हृत
chválit;koho, co;Ak;;;;;parasmai;aktivum;śaṃs-;śaṃsati;śasta;शंस्;शंसति;शस्त
vítězit;nad kým, čím;Ak;;;;;parasmai;aktivum;dží-;džajati;džita;जी;जयति;जित
přemáhat;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
bydlet;;;;;;;parasmai;aktivum;vas-;vasati;uṣita;वस्;वसति;उषित
klanět;se komu;Ak;;;;;parasmai;aktivum;nam-;namati;nata;नम्;नमति;नत
ukazovat;co;Ak;;;;;parasmai;aktivum;diś-;diśati;diṣṭa;दिश्;दिशति;दिष्ट
vstoupit;kam, na co;Ak;;;;;parasmai;aktivum;viś-;viśati;viṣṭa;विश्;विशति;विष्ट
usídlit;;;;;;;;;;;;;;
dát 1;komu;D;;co;Ak;;parasmai;aktivum;jam-;jaččhati;jatta;यम्;यच्छति;यत्त
číst;co;Ak;;;;;parasmai;aktivum;paṭh-;paṭhati;paṭhita;पठ्;पठति;पठित
dotýkat;se koho, čeho;Ak;;;;;parasmai;aktivum;spṛś-;spṛśati;spṛṣṭa;स्पृश्;स्पृशति;स्प्रष्ट
schovávat;se, co;Ak;;;;;parasmai;aktivum;guh-;gúhati;gúḍha;गुह्;गूहति;गूढ
růst;;;;;;;parasmai;aktivum;ruh-;róhati;rúḍa;रुह्;रोहति;रूढ
jít 3;;;;;;;parasmai;aktivum;čar-;čarati;čarita;चर्;चरति;चरित
žít;;;;;;;parasmai;aktivum;džív-;džívati;džívita;जीव्;जीवति;जीवित
opustit;koho;Ak;;;;;parasmai;aktivum;tjadž-;tjadžati;tjakta;त्यज;त्यजति;त्यक्त
;;;;;;;;;;;;;;
vidět;koho, co;Ak;;;;;parasmai;aktivum;dṛś-;paśjati;dṛṣṭa;दृश्;पश्यति;दृष्ट
běžet;;;;;;;parasmai;aktivum;dháv-;dhávati;dhávita;धाव्;धावति;धावित
nosit, vodit koho, co (Ak);koho, co;Ak;;;;;parasmai;aktivum;ní-;najati;níta;नी;नयति;नीत
;;;;;;;;;;;;;;
tancovat;;;;;;;parasmai;aktivum;nṛt-;nṛtjati;nṛtta;नृत्;नृत्यति;नृत्त
zpívat;co;Ak;;;;;parasmai;aktivum;gá-;gájati;gíta;गा;गायति;गीत
vzpomínat;;;;;;;parasmai;aktivum;smṛ-;smarati;smṛta;स्मृ;स्मरति;स्मृत
