id;pád;pád_číslo;číslo;osoba;devanagari;iast;cz
1;Nominativ;1;sg;2;त्वम्;tvam;ty
2;Akuzativ;2;sg;2;त्वाम्;tvām;tebe
3;Instrumentál;3;sg;2;त्वया;tvayā;tebou
4;Dativ;4;sg;2;तुभ्यम्;tubhyam;tobě
5;Ablativ;5;sg;2;त्वत्;tvat;od tebe
6;Genitiv;6;sg;2;तव;tava;tvůj
7;Lokativ;7;sg;2;त्वयि;tvayi;v tobě
8;Nominativ;1;du;2;युवाम्;yuvām;vy dva
9;Akuzativ;2;du;2;युवाम्;yuvām;vás dva
10;Instrumentál;3;du;2;युवाभ्याम्;yuvābhyām;vámi dvěma
11;Dativ;4;du;2;युवाभ्याम्;yuvābhyām;vám dvěma
12;Genitiv;6;du;2;युवयोः;yuvayoḥ;vašich (dvou)
13;Nominativ;1;pl;2;यूयम्;yūyam;vy
14;Akuzativ;2;pl;2;युष्मान्;yuṣmān;vás
15;Instrumentál;3;pl;2;युष्माभिः;yuṣmābhiḥ;vámi
16;Dativ;4;pl;2;युष्मभ्यम्;yuṣmabhyam;vám
17;Genitiv;6;pl;2;युष्माकम्;yuṣmākam;vaše
18;Lokativ;7;pl;2;युष्मासु;yuṣmāsu;ve vás
