id;pád;pád_číslo;číslo;rod;devanagari;iast;cz
1;Nominativ;1;sg;m;सः;saḥ;ten (on)
2;Nominativ;1;sg;f;सा;sā;ta (ona)
3;Nominativ;1;sg;n;तत्;tat;to (ono)
4;Akuzativ;2;sg;m;तम्;tam;toho
5;Akuzativ;2;sg;f;ताम्;tām;tu
6;Akuzativ;2;sg;n;तत्;tat;to
7;Instrumentál;3;sg;m;तेन;tena;tím
8;Instrumentál;3;sg;f;तया;tayā;tou
9;Instrumentál;3;sg;n;तेन;tena;tím
10;Dativ;4;sg;m;तस्मै;tasmai;tomu
11;Dativ;4;sg;f;तस्यै;tasyai;té
12;Dativ;4;sg;n;तस्मै;tasmai;tomu
13;Ablativ;5;sg;m;तस्मात्;tasmāt;od toho
14;Ablativ;5;sg;f;तस्याः;tasyāḥ;od té
15;Ablativ;5;sg;n;तस्मात्;tasmāt;od toho
16;Genitiv;6;sg;m;तस्य;tasya;jeho
17;Genitiv;6;sg;f;तस्याः;tasyāḥ;její
18;Genitiv;6;sg;n;तस्य;tasya;toho
19;Lokativ;7;sg;m;तस्मिन्;tasmin;v tom
20;Lokativ;7;sg;f;तस्याम्;tasyām;v té
21;Lokativ;7;sg;n;तस्मिन्;tasmin;v tom
22;Nominativ;1;du;m;तौ;tau;ti dva
23;Nominativ;1;du;f;ते;te;ty dvě
24;Nominativ;1;du;n;ते;te;ta dvě
25;Nominativ;1;pl;m;ते;te;ti (muži)
26;Nominativ;1;pl;f;ताः;tāḥ;ty (ženy)
27;Nominativ;1;pl;n;तानि;tāni;ty (věci)
28;Akuzativ;2;pl;m;तान्;tān;ty (muže)
29;Akuzativ;2;pl;f;ताः;tāḥ;ty (ženy)
30;Akuzativ;2;pl;n;तानि;tāni;ty (věci)
